StationCode,PriceUpdatedDate,FuelCode,Price
18163,2020-12-30 19:00:45,E10,107.7
17798,2020-12-30 19:07:17,E10,107.9
18163,2020-12-31 01:38:12,E10,112.7
17798,2020-12-31 05:15:09,E10,112.9
1090,2020-12-31 05:55:30,E10,112.5
1090,2020-12-31 06:14:03,E10,111.7
274,2020-12-31 10:04:58,E10,111.9
17798,2020-12-31 10:37:52,E10,111.9
18163,2020-12-31 10:44:28,E10,111.9
675,2020-12-31 12:36:56,E10,111.9
1090,2020-12-31 16:09:02,E10,109.9
18163,2020-12-31 16:52:49,E10,111.7
1090,2020-12-31 18:04:00,E10,104.9
18163,2020-12-31 19:00:37,E10,106.7
17798,2020-12-31 19:28:10,E10,106.9
274,2020-12-31 21:33:01,E10,109.9
1090,2020-12-31 22:25:59,E10,109.9
18163,2021-03-01 04:10:53,E10,123.9
1090,2021-03-01 04:23:35,E10,114.9
18163,2021-03-01 09:27:12,E10,122.9
17798,2021-03-01 10:16:27,E10,122.9
274,2021-03-01 11:05:57,E10,161.9
18163,2021-03-01 19:04:33,E10,118.9
17109,2021-03-01 20:15:09,E10,127.9
18163,2021-03-02 06:25:04,E10,123.9
18163,2021-03-02 10:57:37,E10,123.9
17798,2021-03-02 11:40:22,E10,123.9
18163,2021-03-02 16:06:16,E10,125.9
17798,2021-03-02 16:13:14,E10,125.9
18163,2021-03-02 19:02:31,E10,118.9
18163,2021-03-03 00:00:06,E10,123.9
18163,2021-03-03 11:45:25,E10,125.9
18163,2021-03-03 13:41:16,E10,126.9
17798,2021-03-03 13:48:11,E10,126.9
17109,2021-03-03 16:20:01,E10,131.9
18163,2021-03-03 18:59:30,E10,120.9
18163,2021-03-04 04:16:28,E10,125.9
1090,2021-03-04 11:20:32,E10,119.9
18163,2021-03-04 13:37:35,E10,147.9
17798,2021-03-04 13:41:49,E10,147.9
18163,2021-03-04 14:08:15,E10,147.9
18163,2021-03-04 19:06:01,E10,142.9
18163,2021-03-05 07:29:55,E10,147.9
18163,2021-03-05 19:05:31,E10,142.9
1090,2021-03-05 20:19:23,E10,114.9
1090,2021-03-05 22:25:25,E10,119.9
18163,2021-03-06 01:08:18,E10,147.9
17798,2021-03-06 09:54:36,E10,131.9
18163,2021-03-06 10:03:51,E10,131.9
18163,2021-03-06 14:13:51,E10,137.9
18163,2021-03-06 18:50:07,E10,132.9
17109,2021-03-06 23:16:21,E10,141.9
18163,2021-03-07 01:43:55,E10,137.9
274,2021-03-07 08:21:00,E10,159.9
1090,2021-03-07 09:03:12,E10,124.9
675,2021-03-07 09:33:20,E10,159.9
18163,2021-03-07 11:38:26,E10,141.9
17798,2021-03-07 13:07:41,E10,141.9
18163,2021-03-07 19:12:29,E10,132.9
18163,2021-03-07 21:09:03,E10,137.9
1090,2021-03-08 09:01:44,E10,137.9
675,2021-03-08 10:36:52,E10,155.9
274,2021-03-08 11:37:08,E10,155.9
675,2021-03-08 18:52:38,E10,151.9
18163,2021-03-08 18:57:18,E10,132.9
1090,2021-03-08 19:04:57,E10,132.9
274,2021-03-08 19:08:27,E10,151.9
17798,2021-03-08 19:15:03,E10,136.9
1090,2021-03-08 22:29:26,E10,137.9
18163,2021-03-09 00:15:54,E10,137.9
17798,2021-03-09 05:30:45,E10,141.9
675,2021-03-09 07:05:36,E10,143.5
274,2021-03-09 07:36:39,E10,141.9
17109,2021-03-09 10:24:02,E10,139.9
17798,2021-03-09 10:50:33,E10,139.9
18163,2021-03-09 10:51:34,E10,139.9
274,2021-03-09 10:53:26,E10,139.9
675,2021-03-09 13:21:16,E10,139.9
1090,2021-03-09 18:05:50,E10,132.9
18163,2021-03-09 18:56:42,E10,132.9
17798,2021-03-09 18:57:20,E10,134.9
1090,2021-03-09 22:31:07,E10,137.9
18163,2021-03-10 01:58:19,E10,137.9
17798,2021-03-10 06:17:53,E10,139.9
18163,2021-03-10 18:57:40,E10,132.9
1090,2021-03-10 19:03:27,E10,132.9
17798,2021-03-10 19:19:10,E10,134.9
1090,2021-03-10 22:26:59,E10,137.9
18163,2021-03-11 01:11:45,E10,137.9
17798,2021-03-11 05:23:22,E10,139.9
18163,2021-03-11 18:58:16,E10,132.9
17798,2021-03-11 19:02:19,E10,134.9
1090,2021-03-11 20:09:35,E10,132.9
1090,2021-03-11 22:24:32,E10,137.9
18163,2021-03-12 03:36:35,E10,137.9
17798,2021-03-12 05:30:45,E10,139.9
1090,2021-03-12 18:22:59,E10,132.9
18163,2021-03-12 18:56:59,E10,132.9
17798,2021-03-12 19:39:24,E10,134.9
18163,2021-03-13 00:34:53,E10,137.9
1090,2021-03-13 06:07:35,E10,137.9
1090,2021-03-13 06:34:49,E10,134.9
17798,2021-03-13 06:38:51,E10,139.9
18163,2021-03-13 10:29:00,E10,138.3
17798,2021-03-13 10:29:18,E10,138.3
274,2021-03-13 10:33:08,E10,138.9
274,2021-03-13 11:09:04,E10,138.4
18163,2021-03-13 12:10:21,E10,136.9
675,2021-03-13 12:21:07,E10,138.4
274,2021-03-13 18:02:15,E10,137.9
1090,2021-03-13 18:07:39,E10,129.9
